iter	Passed	Remaining
408	5052	7301
409	5059	7280
410	5068	7263
411	5075	7243
412	5086	7229
413	5101	7220
414	5108	7200
415	5121	7190
416	5129	7170
417	5140	7157
418	5155	7148
419	5186	7162
420	5197	7147
421	5209	7134
422	5218	7117
423	5226	7100
424	5241	7091
425	5257	7084
426	5266	7067
427	5276	7051
428	5287	7037
429	5303	7029
430	5317	7019
431	5333	7012
432	5348	7003
433	5362	6994
434	5390	7001
435	5426	7019
436	5450	7021
437	5464	7011
438	5471	6992
439	5478	6972
440	5486	6954
441	5500	6943
442	5510	6929
443	5523	6917
444	5533	6901
445	5542	6885
446	5554	6871
447	5560	6851
448	5571	6837
449	5596	6840
450	5603	6820
451	5613	6805
452	5624	6791
453	5633	6775
454	5643	6759
455	5657	6749
456	5665	6731
457	5674	6715
458	5687	6703
459	5699	6690
460	5705	6670
461	5716	6656
462	5724	6639
463	5732	6622
464	5739	6603
465	5748	6587
466	5756	6570
467	5766	6555
468	5777	6541
469	5786	6525
470	5797	6511
471	5806	6495
472	5848	6516
473	5861	6504
474	5869	6487
475	5877	6470
476	5888	6455
477	5895	6438
478	5905	6423
479	5935	6430
480	5944	6414
481	5954	6399
482	5962	6382
483	5970	6364
484	5979	6349
485	5991	6337
486	6004	6324
487	6010	6306
488	6021	6292
489	6029	6275
490	6035	6256
491	6046	6242
492	6053	6225
493	6062	6209
494	6070	6192
495	6080	6178
496	6087	6161
497	6096	6145
498	6104	6129
499	6116	6116
500	6122	6098
501	6131	6082
502	6139	6065
503	6149	6051
504	6156	6034
505	6166	6020
506	6173	6003
507	6182	5988
508	6191	5972
509	6200	5957
510	6215	5947
511	6232	5940
512	6252	5935
513	6266	5925
514	6281	5916
515	6289	5899
516	6346	5928
517	6352	5910
518	6419	5949
519	6430	5935
520	6439	5920
521	6446	5903
522	6455	5887
523	6464	5872
524	6474	5857
525	6482	5841
526	6493	5828
527	6501	5812
528	6509	5796
529	6519	5781
530	6530	5767
531	6537	5751
532	6546	5736
533	6557	5722
534	6566	5707
535	6574	5691
536	6582	5675
537	6592	5661
538	6601	5645
539	6612	5632
540	6620	5617
541	6627	5600
542	6635	5584
543	6644	5569
544	6654	5555
545	6664	5541
546	6672	5525
547	6692	5520
548	6704	5507
549	6713	5492
550	6722	5478
551	6731	5463
552	6740	5448
553	6748	5432
554	6757	5417
555	6767	5404
556	6797	5406
557	6805	5390
558	6813	5375
559	6822	5360
560	6829	5344
561	6839	5330
562	6853	5319
563	6868	5309
564	6876	5294
565	6883	5278
566	6895	5265
567	6907	5253
568	6918	5240
569	6928	5226
570	6940	5214
571	6948	5198
572	6958	5185
573	6971	5174
574	7003	5176
575	7018	5166
576	7026	5151
577	7041	5140
578	7050	5126
579	7058	5111
580	7068	5097
581	7082	5086
582	7090	5071
583	7102	5059
584	7114	5047
585	7127	5035
586	7149	5030
587	7158	5015
588	7167	5001
589	7174	4985
590	7183	4971
591	7190	4955
592	7205	4945
593	7217	4933
594	7232	4922
595	7241	4908
596	7250	4894
597	7259	4880
598	7267	4864
599	7272	4848
600	7281	4834
601	7288	4818
602	7296	4803
603	7318	4798
604	7325	4782
605	7335	4769
606	7343	4754
607	7365	4748
608	7374	4734
609	7397	4729
610	7421	4724
611	7429	4710
612	7440	4697
613	7449	4683
614	7462	4671
615	7470	4656
616	7479	4643
617	7487	4628
618	7502	4617
619	7513	4605
620	7525	4592
621	7536	4579
622	7585	4590
623	7594	4576
624	7601	4560
625	7610	4547
626	7619	4532
627	7632	4521
628	7639	4506
629	7647	4491
630	7657	4477
631	7665	4463
632	7674	4449
633	7683	4435
634	7693	4422
635	7704	4409
636	7712	4395
637	7720	4380
638	7733	4368
639	7763	4367
640	7769	4351
641	7781	4339
642	7791	4325
643	7798	4311
644	7809	4298
645	7820	4285
646	7831	4273
647	7840	4259
648	7849	4245
649	7861	4233
650	7869	4218
651	7879	4205
652	7895	4195
653	7907	4183
654	7916	4169
655	7924	4155
656	7933	4141
657	7943	4128
658	7952	4115
659	7962	4101
660	7972	4088
661	7981	4075
662	7993	4062
663	8000	4048
664	8007	4033
665	8016	4020
666	8027	4007
667	8036	3994
668	8043	3979
669	8052	3966
670	8063	3953
671	8072	3940
672	8079	3925
673	8087	3911
674	8096	3898
675	8107	3885
676	8116	3872
677	8129	3860
678	8138	3847
679	8148	3834
680	8159	3822
681	8167	3808
682	8185	3798
683	8194	3785
684	8205	3773
685	8213	3759
686	8225	3747
687	8235	3734
688	8248	3723
689	8257	3709
690	8266	3696
691	8275	3683
692	8282	3669
693	8291	3655
694	8301	3643
695	8308	3629
696	8336	3624
697	8351	3613
698	8363	3601
699	8374	3589
700	8382	3575
701	8390	3561
702	8403	3550
703	8414	3538
704	8423	3524
705	8429	3510
706	8455	3504
707	8463	3490
708	8480	3480
709	8489	3467
710	8497	3454
711	8506	3440
712	8512	3426
713	8522	3413
714	8533	3401
715	8544	3389
716	8553	3376
717	8568	3365
718	8583	3354
719	8593	3341
720	8601	3328
721	8611	3315
722	8625	3304
723	8642	3294
724	8649	3280
725	8659	3268
726	8670	3255
727	8683	3244
728	8694	3232
729	8703	3219
730	8713	3206
731	8722	3193
732	8730	3180
733	8740	3167
734	8750	3154
735	8760	3142
736	8767	3128
737	8777	3116
738	8785	3102
739	8798	3091
740	8807	3078
741	8814	3064
742	8837	3056
743	8844	3043
744	8851	3029
745	8861	3017
746	8871	3004
747	8879	2991
748	8886	2977
749	8893	2964
750	8903	2952
751	8912	2939
752	8918	2925
753	8928	2912
754	8934	2899
755	8943	2886
756	8951	2873
757	8961	2861
758	8979	2851
759	8985	2837
760	8993	2824
761	9002	2811
762	9008	2798
763	9019	2786
764	9030	2774
765	9040	2761
766	9047	2748
767	9053	2735
768	9060	2721
769	9070	2709
770	9081	2697
771	9087	2683
772	9097	2671
773	9107	2659
774	9128	2650
775	9139	2638
776	9146	2625
777	9157	2612
778	9163	2599
779	9172	2587
780	9180	2574
781	9188	2561
782	9201	2550
783	9213	2538
784	9219	2525
785	9240	2515
786	9253	2504
787	9266	2492
788	9273	2479
789	9281	2467
790	9290	2454
791	9299	2442
792	9308	2429
793	9319	2417
794	9329	2405
795	9335	2392
796	9344	2380
797	9351	2367
798	9362	2355
799	9371	2342
800	9381	2330
801	9388	2317
802	9395	2305
803	9404	2292
804	9412	2280
805	9422	2268
806	9441	2258
807	9458	2247
808	9483	2238
809	9512	2231
810	9533	2221
811	9545	2209
812	9551	2196
813	9565	2185
814	9610	2181
815	9623	2169
816	9630	2157
817	9638	2144
818	9644	2131
819	9679	2124
820	9691	2113
821	9704	2101
822	9715	2089
823	9731	2078
824	9741	2066
825	9756	2055
826	9766	2043
827	9773	2030
828	9781	2017
829	9788	2004
830	9797	1992
831	9807	1980
832	9818	1968
833	9825	1955
834	9836	1943
835	9846	1931
836	9855	1919
837	9863	1906
838	9872	1894
839	9881	1882
840	9887	1869
841	9896	1857
842	9904	1844
843	9909	1831
844	9921	1819
845	9934	1808
846	9944	1796
847	9955	1784
848	9964	1772
849	9977	1760
850	9989	1748
851	9998	1736
852	10010	1725
853	10024	1713
854	10039	1702
855	10046	1690
856	10056	1678
857	10066	1666
858	10104	1658
859	10113	1646
860	10152	1639
861	10164	1627
862	10172	1614
863	10178	1602
864	10186	1589
865	10236	1583
866	10247	1572
867	10262	1560
868	10272	1548
869	10285	1536
870	10295	1524
871	10303	1512
872	10315	1500
873	10326	1488
874	10347	1478
875	10359	1466
876	10382	1456
877	10406	1445
878	10420	1434
879	10432	1422
880	10448	1411
881	10461	1399
882	10478	1388
883	10492	1376
884	10517	1366
885	10542	1356
886	10555	1344
887	10569	1333
888	10598	1323
889	10613	1311
890	10632	1300
891	10646	1289
892	10659	1277
893	10669893	10894	10683	1253
895	10691	1241
896	10703896	10904	1252
897	10922	1240
898	10899	10743	1193
900	10754	1181
901	10798	1173
902	10805	1160
903	10819	1149
904	10828	1136
905	10833	1124
906	10840906	11907	10846907	11908	10867908	11147	1115
909	11156	1103
910	11911	10901911	11912	10920912	11913	10928913	11914	10941914	11915	10949	1004
916	10958	991
917	10967	979
918	10977	967
919	10984	955
920	10994	943
921	11005	931
922	11028	920
923	11034	907
924	11045	895
925	11054	883
926	11066	871
927	11074	859
928	11092	847
929	11115	836
930	11130	824
931	11144	813
932	11157	801
933	11172	789
934	11184	777
935	11198	765
936	11208	753
937	11218	741
938	11227	729
939	11240	717
940	11253	705
941	11260	693
942	11293	682
943	11318	671
944	11333	659
945	11339	647
946	11351	635
947	11358	623
948	11367	610
949	11375	598
950	11384	5950951	11393	574
952	11401	5952953	11412	5953954	11429	5954955	11449	526
956	11458	514
957	11466	502
958	11476	490
959	11483	478
960	11496	466
961	11504	454
962	11511	442
963	11520	430
964	11531	418
965	11538	406
966	11545	394
967	11555	382
968	11564	369
969	11573	357
970	11580	3970971	11590	333
972	11603	321
973	11609	309
974	11620	297
975	11628	285
976	11634	273
977	11642	261
978	11666	250
979	11681	238
980	11693	226
981	11701	214
982	11709	2982	11946	206
983	11966	194
984	11977	182
985	11985	170
986	11994	157
987	12003	145
988	12012	133
989	12019	121
990	12028	109
991	12047	97
992	12055	84
993	12064	72
994	12074	60
995	12084	48
996	12090	36
997	12098	24
998	12106	12
999	12112	0
	35
997	11958	23
998	11975	11
999	11982	0
